,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
242,Regular Season,2015-08-15,NY Red Bulls,Toronto FC,Red Bull Arena,20685,3,0,NY Red Bulls,2015
243,Regular Season,2015-08-15,New England,Houston Dynamo,Gillette Stadium,21723,2,0,New England,2015
244,Regular Season,2015-08-15,Sporting KC,Vancouver,Children's Mercy Park,19969,4,3,Sporting KC,2015
245,Regular Season,2015-08-15,FC Dallas,LA Galaxy,Toyota Stadium,21907,1,2,LA Galaxy,2015
246,Regular Season,2015-08-15,Real Salt Lake,Portland Timbers,Rio Tinto Stadium,20338,0,1,Portland Timbers,2015
247,Regular Season,2015-08-16,Seattle,Orlando City,CenturyLink Field,40453,4,0,Seattle,2015
248,Regular Season,2015-08-16,Philadelphia,Chicago Fire,Subaru Park,17608,3,3,,2015
249,Regular Season,2015-08-19,Columbus Crew,NYCFC,MAPFRE Stadium,15514,2,2,,2015
250,Regular Season,2015-08-19,Sporting KC,San Jose,Children's Mercy Park,18866,0,5,San Jose,2015
251,Regular Season,2015-08-21,Portland Timbers,Houston Dynamo,Providence Park,21144,2,2,,2015
252,Regular Season,2015-08-22,Toronto FC,Orlando City,BMO Field,26397,5,0,Toronto FC,2015
253,Regular Season,2015-08-22,D.C. United,San Jose,Robert F. Kennedy Memorial Stadium,20043,0,2,San Jose,2015
254,Regular Season,2015-08-22,Columbus Crew,Sporting KC,MAPFRE Stadium,20018,3,2,Columbus Crew,2015
255,Regular Season,2015-08-22,Montreal Impact,Philadelphia,Saputo Stadium,20801,0,1,Philadelphia,2015
256,Regular Season,2015-08-22,Chicago Fire,Colorado Rapids,SeatGeek Stadium,18317,0,1,Colorado Rapids,2015
257,Regular Season,2015-08-22,Vancouver,FC Dallas,BC Place,21000,1,0,Vancouver,2015
259,Regular Season,2015-08-22,Real Salt Lake,Seattle,Rio Tinto Stadium,20559,2,0,Real Salt Lake,2015
260,Regular Season,2015-08-23,LA Galaxy,NYCFC,Dignity Health Sports Park,27000,5,1,LA Galaxy,2015
261,Regular Season,2015-08-26,Chicago Fire,NY Red Bulls,SeatGeek Stadium,11196,3,2,Chicago Fire,2015
262,Regular Season,2015-08-26,Colorado Rapids,Houston Dynamo,Dick's Sporting Goods Park,10439,2,1,Colorado Rapids,2015
263,Regular Season,2015-08-28,San Jose,LA Galaxy,Avaya Stadium,18000,1,0,San Jose,2015
264,Regular Season,2015-08-29,NYCFC,Columbus Crew,Yankee Stadium,30018,1,2,Columbus Crew,2015
265,Regular Season,2015-08-29,Toronto FC,Montreal Impact,BMO Field,30266,2,1,Toronto FC,2015
266,Regular Season,2015-08-29,Philadelphia,New England,Subaru Park,17117,0,1,New England,2015
267,Regular Season,2015-08-29,Colorado Rapids,Sporting KC,Dick's Sporting Goods Park,16480,2,1,Colorado Rapids,2015
268,Regular Season,2015-08-29,Houston Dynamo,Vancouver,BBVA Compass Stadium,21257,2,0,Houston Dynamo,2015
269,Regular Season,2015-08-29,FC Dallas,Real Salt Lake,Toyota Stadium,18172,2,0,FC Dallas,2015
270,Regular Season,2015-08-29,Orlando City,Chicago Fire,Camping World Stadium,28921,1,1,,2015
271,Regular Season,2015-08-30,Seattle,Portland Timbers,CenturyLink Field,64358,2,1,Seattle,2015
272,Regular Season,2015-08-30,NY Red Bulls,D.C. United,Red Bull Arena,22645,3,0,NY Red Bulls,2015
273,Regular Season,2015-09-05,New England,Orlando City,Gillette Stadium,18854,3,0,New England,2015
274,Regular Season,2015-09-05,Montreal Impact,Chicago Fire,Saputo Stadium,20801,4,3,Montreal Impact,2015
275,Regular Season,2015-09-05,Seattle,Toronto FC,CenturyLink Field,39960,2,1,Seattle,2015
